% Model:              normal_decel_full_geometry.mph
% Version:            COMSOL 5.2.1.262
% Date:               Jun 25 2017, 15:20
% Dimension:          3
% Nodes:              2541
% Expressions:        3
% Description:        Electric field, x component, Electric field, y component, Electric field, z component
% Length unit:        mm
% x                       y                        z                        es.Ex (V/m)              es.Ey (V/m)              es.Ez (V/m)
0.30000000000000004       0.5                      -5.461                   96685.03370980074        -279016.0730529083       949.8644460526721
0.4                       0.5                      -5.461                   128707.97272446312       -256915.0249342667       916.8931914545246
0.5                       0.5                      -5.461                   160415.51794734632       -228970.8113555601       774.3440429115617
0.6000000000000001        0.5                      -5.461                   192196.80863936877       -194525.87702302003      -900.6138992732886
0.7000000000000001        0.5                      -5.461                   221809.80187334656       -154541.70368102798      560.0708328678738
0.8                       0.5                      -5.461                   250685.18461101502       -107934.88049930902      -216.03975613036891
0.9000000000000001        0.5                      -5.461                   277060.139541314         -57212.07450098649       -460.7353034578118
1                         0.5                      -5.461                   299462.7209844673        -6.528091654262536E-11   2.512479278955441
0                         0.6000000000000001       -5.461                   -987.6728153638542       -302284.1219014769       -948.4919747820823
0.1                       0.6000000000000001       -5.461                   38004.93509711267        -299543.4423648801       1813.3876122530492
0.2                       0.6000000000000001       -5.461                   77705.81874435686        -292113.10061389557      -635.2508123474618
0.30000000000000004       0.6000000000000001       -5.461                   115190.76587974024       -274525.34241732676      -435.63108628371265
0.4                       0.6000000000000001       -5.461                   152779.40112737357       -253833.73354362557      -835.6606692037749
0.5                       0.6000000000000001       -5.461                   191794.33319550258       -224618.27790196647      -1757.39945483068
0.6000000000000001        0.6000000000000001       -5.461                   228726.73294919182       -191463.9885591934       302.5279948766074
0.7000000000000001        0.6000000000000001       -5.461                   264812.20522708015       -152699.34937725365      -70.60518491767652
0.8                       0.6000000000000001       -5.461                   297248.05326847074       -105018.75453106902      333.630206623744
0.9000000000000001        0.6000000000000001       -5.461                   330095.0934874979        -55134.59235627351       -515.0585767942539
1                         0.6000000000000001       -5.461                   356290.387720532         -2.888032837040791E-10   2.989260947002662
0                         0.7000000000000001       -5.461                   -50.78903227765113       -297779.21870359464      726.0244955070375
0.1                       0.7000000000000001       -5.461                   45278.47486229637        -294779.70879366924      757.6459314256208
0.2                       0.7000000000000001       -5.461                   88512.0078547711         -285000.8824702918       220.67728568345774
0.30000000000000004       0.7000000000000001       -5.461                   133112.42339558492       -269809.315761499        598.9951367519097
0.4                       0.7000000000000001       -5.461                   178826.05421860638       -248943.74171804078      115.1678981196601
0.5                       0.7000000000000001       -5.461                   222683.07706145558       -220788.61799428635      -965.4429257249067
0.6000000000000001        0.7000000000000001       -5.461                   264046.54604669596       -187522.7223159345       -1421.414802640269
0.7000000000000001        0.7000000000000001       -5.461                   306802.95458775497       -149138.1213375245       12.836115315149073
0.8                       0.7000000000000001       -5.461                   346851.36378340237       -104409.24281610432      1430.2842762647342
0.9000000000000001        0.7000000000000001       -5.461                   383491.22270300135       -53927.847966713685      940.5580908761767
1                         0.7000000000000001       -5.461                   413118.0544565996        -1.1076864314213723E-10  3.4660426125405426
0                         0.8                      -5.461                   69.07610005047172        -291269.01663808787      -146.68349786615
0.1                       0.8                      -5.461                   49352.68526692968        -286376.6734889692       94.82193640328478
0.2                       0.8                      -5.461                   100877.4923009855        -279090.2933396688       -1649.533646788448
0.30000000000000004       0.8                      -5.461                   151871.31279390934       -263787.06518904393      799.280519493419
0.4                       0.8                      -5.461                   200986.7310747644        -242495.75844971277      -936.5056619154057
0.5                       0.8                      -5.461                   251676.2632477434        -215558.85762784415      1855.366868570767
0.6000000000000001        0.8                      -5.461                   301205.2618301915        -184009.4946340571       1305.7102537561295
0.7000000000000001        0.8                      -5.461                   347625.47840336524       -144935.5974898893       2734.581009069807
0.8                       0.8                      -5.461                   394513.72533437674       -101879.45810218205      -730.2028190088058
0.9000000000000001        0.8                      -5.461                   436599.74367740727       -54211.49090545361       408.11752680205973
1                         0.8                      -5.461                   467322.27637531346       -2.2109738665867632E-9   3.9208136874084127
0                         0.9000000000000001       -5.461                   988.2466963492334        -283369.8020905019       238.48781659197994
0.1                       0.9000000000000001       -5.461                   56983.12596305547        -281148.4371540542       -17.658694359241053
0.2                       0.9000000000000001       -5.461                   112802.47624992594       -272358.44604396384      216.18164886534214
0.30000000000000004       0.9000000000000001       -5.461                   169584.23316278146       -258313.98866460705      -232.93015650240704
0.4                       0.9000000000000001       -5.461                   225558.38479046          -237893.84888608498      -32.51782332221046
0.5                       0.9000000000000001       -5.461                   281374.7922612665        -211214.89480792568      -174.15357923146803
0.6000000000000001        0.9000000000000001       -5.461                   335720.1329824152        -179592.81588974906      -733.956988942984
