% Model:              normal_decel_full_geometry.mph
% Version:            COMSOL 5.2.1.262
% Date:               Jun 25 2017, 20:25
% Dimension:          3
% Nodes:              2541
% Expressions:        3
% Description:        Electric field, x component, Electric field, y component, Electric field, z component
% Length unit:        mm
% x                       y                        z                        es.Ex (V/m)              es.Ey (V/m)              es.Ez (V/m)
0.30000000000000004       0.4                      -5.461                   1.1663256381719816E7     -37.62279768381268       -9761.530375462025
0.4                       0.4                      -5.461                   1.1864255546950951E7     -7170.632812565658       4110.091271596495
0.5                       0.4                      -5.461                   1.215018635837483E7      2737.250851424411        1270.7312745766249
0.6000000000000001        0.4                      -5.461                   1.250606820688542E7      -5193.397472448647       4945.891034647822
0.7000000000000001        0.4                      -5.461                   1.2973605543118987E7     -4087.3143378142267      -29279.233670935035
0.8                       0.4                      -5.461                   1.350894009348502E7      -3964.1508866362274      6593.603613253683
0.9000000000000001        0.4                      -5.461                   1.4190376524614558E7     -9811.559932326898       6466.136121822521
1                         0.4                      -5.461                   1.5021913884260178E7     -4.1146181747292076E-8   126.03320792672241
0                         0.5                      -5.461                   1.141102322352816E7      15044.555633924436       4307.05629753368
0.1                       0.5                      -5.461                   1.1423440481431888E7     -3275.051223360002       12255.677063891664
0.2                       0.5                      -5.461                   1.1529967189524254E7     3002.585810996592        -6037.773235037923
0.30000000000000004       0.5                      -5.461                   1.1659295850428335E7     5681.747867034748        80.26409647922264
0.4                       0.5                      -5.461                   1.1884780859708535E7     25569.83197979629        17807.6518798545
0.5                       0.5                      -5.461                   1.2146219926475655E7     4742.752714252099        5712.326179012191
0.6000000000000001        0.5                      -5.461                   1.251468441199214E7      4782.565534393303        -13443.514828718267
0.7000000000000001        0.5                      -5.461                   1.2953217674836606E7     3543.2800183296204       -5521.481159478426
0.8                       0.5                      -5.461                   1.3507001284764256E7     -1491.8006303403527      2710.4088163785636
0.9000000000000001        0.5                      -5.461                   1.4189942660415936E7     6427.514958374202        7448.859236711636
1                         0.5                      -5.461                   1.5035737842264071E7     2.980389697045821E-8     126.14919030290855
0                         0.6000000000000001       -5.461                   1.1420616294845005E7     8487.897851771675        -2410.996726757847
0.1                       0.6000000000000001       -5.461                   1.1435733408238823E7     2902.719977285422        5610.9963235858595
0.2                       0.6000000000000001       -5.461                   1.1522067312227113E7     3395.236519418657        -3350.869333826937
0.30000000000000004       0.6000000000000001       -5.461                   1.1685829871062465E7     175.35144945979118       -1161.325421395246
0.4                       0.6000000000000001       -5.461                   1.1876268789879654E7     6891.883222459815        16308.017250016797
0.5                       0.6000000000000001       -5.461                   1.214893638553641E7      5143.163064267486        6848.94520483166
0.6000000000000001        0.6000000000000001       -5.461                   1.2511733839357719E7     -2819.2724765255116      -14367.776761046145
